Artist,ArtistImageURL,Track,Popularity,Duration_ms,Album Name,Album Type,acousticness,danceability,instrumentalness,liveness,speechiness,valence,Energia,Tempo,Loudness,Num_samples,Duration_analysis,Loudness_analysis,Tempo_analysis,Release_date_precision,Id,shape
Beyoncé,https://i.scdn.co/image/ab6761610000e5eb12e3f20d05a8d6cfde988715,CUFF IT,87,225389,RENAISSANCE,album,0.0368,0.78,9.69e-06,0.0698,0.141,0.642,0.689,115.042,-5.668,4969824,225.38884,-5.668,115.042,2022-07-29,1xzi1Jcr7mEi9K2RfzLOqS,square
Beyoncé,https://i.scdn.co/image/ab6761610000e5eb12e3f20d05a8d6cfde988715,ALIEN SUPERSTAR,80,215460,RENAISSANCE,album,0.00453,0.545,6.59e-05,0.171,0.0998,0.464,0.641,121.892,-6.398,4750892,215.45995,-6.398,121.892,2022-07-29,1Hohk6AufHZOrrhMXZppax,square
Beyoncé,https://i.scdn.co/image/ab6761610000e5eb12e3f20d05a8d6cfde988715,HEATED,80,260771,RENAISSANCE,album,0.0636,0.785,0.000807,0.265,0.164,0.496,0.732,110.952,-5.724,5749991,260.77057,-5.724,110.952,2022-07-29,1w7cgGZR86yWz1pA2puVJD,square
Beyoncé,https://i.scdn.co/image/ab6761610000e5eb12e3f20d05a8d6cfde988715,BREAK MY SOUL,79,278282,RENAISSANCE,album,0.0581,0.693,2.71e-06,0.27,0.0795,0.864,0.887,114.942,-5.039,6136108,278.28156,-5.039,114.942,2022-07-29,5pyoxDZ1PX0KxBxiRVxA4U,square
Beyoncé,https://i.scdn.co/image/ab6761610000e5eb12e3f20d05a8d6cfde988715,Crazy In Love (feat. Jay-Z),79,235933,Dangerously In Love,album,0.00238,0.664,0.0,0.0598,0.21,0.701,0.758,99.259,-6.583,5202330,235.93333,-6.583,99.252,2003-03-10,0TwBtDAWpkpM3srywFVOV5,square
Beyoncé,https://i.scdn.co/image/ab6761610000e5eb12e3f20d05a8d6cfde988715,ENERGY (feat. Beam),78,116727,RENAISSANCE,album,0.281,0.903,0.000106,0.155,0.26,0.587,0.519,114.991,-9.151,2573836,116.72726,-9.151,114.991,2022-07-29,0314PeD1sQNonfVWix3B2K,square
Beyoncé,https://i.scdn.co/image/ab6761610000e5eb12e3f20d05a8d6cfde988715,AMERICA HAS A PROBLEM,78,198898,RENAISSANCE,album,0.00348,0.789,0.00152,0.283,0.0579,0.108,0.614,126.035,-6.491,4385692,198.8976,-6.491,126.035,2022-07-29,2XMAWynSTIst5KmLSv0Npf,square
Beyoncé,https://i.scdn.co/image/ab6761610000e5eb12e3f20d05a8d6cfde988715,Love On Top,78,267413,4,album,0.0848,0.652,0.0,0.604,0.0886,0.651,0.749,94.103,-5.248,5896464,267.41333,-5.248,94.103,2011-06-24,1z6WtY7X4HQJvzxC4UgkSf,square
Beyoncé,https://i.scdn.co/image/ab6761610000e5eb12e3f20d05a8d6cfde988715,COZY,77,210372,RENAISSANCE,album,0.000828,0.556,0.00468,0.155,0.102,0.367,0.63,149.147,-8.15,4638708,210.37224,-8.15,149.147,2022-07-29,0mKGwFMHzTprtS2vpR3b6s,square
Beyoncé,https://i.scdn.co/image/ab6761610000e5eb12e3f20d05a8d6cfde988715,I'M THAT GIRL,76,208014,RENAISSANCE,album,0.0616,0.554,1.32e-05,0.124,0.186,0.136,0.535,105.865,-8.959,4586718,208.01442,-8.959,105.865,2022-07-29,1MpCaOeUWhox2Fgigbe1cL,square
Taylor Swift,https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706,Anti-Hero,93,200690,Midnights,album,0.13,0.637,1.8e-06,0.142,0.0519,0.533,0.643,97.008,-6.571,4425218,200.69016,-6.645,96.888,2022-10-21,0V3wPSX9ygBnCm8psDIegu,circle
Taylor Swift,https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706,Blank Space,91,231827,1989 (Deluxe),album,0.103,0.76,0.0,0.0913,0.054,0.57,0.703,95.997,-5.412,5111778,231.82668,-5.412,95.997,2014-01-01,1u8c2t2Cy7UBoG4ArRcF5g,circle
Taylor Swift,https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706,cardigan,91,239560,folklore,album,0.537,0.613,0.000345,0.25,0.0424,0.551,0.581,130.033,-8.588,5282307,239.56041,-8.588,130.033,2020-07-24,4R2kfaDFhslZEMJqAFNpdd,circle
Taylor Swift,https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706,Don’t Blame Me,91,236413,reputation,album,0.106,0.615,1.76e-05,0.0607,0.0386,0.193,0.534,135.917,-6.719,5212914,236.41333,-6.719,135.917,2017-11-10,1R0a2iXumgCiFb7HEZ7gUE,circle
Taylor Swift,https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706,Lover,91,221307,Lover,album,0.492,0.359,1.58e-05,0.118,0.0919,0.453,0.543,68.534,-7.582,4879812,221.30667,-7.582,68.534,2019-08-23,1dGr1c8CrMLDpV6mPbImSI,circle
Taylor Swift,https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706,Style,91,231000,1989 (Deluxe),album,0.00245,0.588,0.00258,0.118,0.0402,0.487,0.791,94.933,-5.595,5093550,231.0,-5.595,94.933,2014-01-01,0ug5NqcwcFR2xrfTkc7k8e,circle
Taylor Swift,https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706,Karma,90,204852,Midnights,album,0.0734,0.642,0.0,0.483,0.0666,0.0969,0.62,90.02,-7.091,4516993,204.8523,-7.108,90.008,2022-10-21,7KokYm8cMIXCsGVmUvKtqf,circle
Taylor Swift,https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706,Enchanted (Taylor's Version),89,353253,Speak Now (Taylor's Version),album,0.012,0.505,0.0,0.149,0.0265,0.216,0.532,81.907,-3.526,7789236,353.25333,-3.546,81.949,2023-07-07,3sW3oSbzsfecv9XoUdGs7h,circle
Taylor Swift,https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706,Delicate,87,232253,reputation,album,0.216,0.75,0.000357,0.0911,0.0682,0.0499,0.404,95.045,-10.178,5121186,232.25333,-10.178,95.045,2017-11-10,6NFyWDv5CjfwuzoCkw47Xf,circle
Taylor Swift,https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706,The Man,87,190360,Lover,album,0.0767,0.777,0.0,0.0901,0.054,0.633,0.658,110.048,-5.191,4197438,190.36,-5.191,110.048,2019-08-23,3RauEVgRgj1IuWdJ9fDs70,circle
